Crossheadmm,LoadN,Timesec
20.11,41.0,60.400
20.14,41.0,60.500
20.18,41.0,60.600
20.21,41.0,60.700
20.24,40.0,60.800
20.28,40.0,60.900
20.31,40.0,61.000
20.34,39.0,61.100
20.38,38.0,61.200
20.41,38.0,61.300
20.44,38.0,61.400
20.48,38.0,61.500
20.51,38.0,61.600
20.54,38.0,61.700
20.58,38.0,61.800
20.61,38.0,61.900
20.64,38.0,62.000
20.68,38.0,62.100
20.71,38.0,62.200
20.74,38.0,62.300
20.78,38.0,62.400
20.81,38.0,62.500
20.84,37.0,62.600
20.88,37.0,62.700
20.91,36.0,62.800
20.94,36.0,62.900
20.98,36.0,63.000
21.01,36.0,63.100
21.04,35.0,63.200
21.08,35.0,63.300
21.11,34.0,63.400
21.14,34.0,63.500
21.17,34.0,63.600
21.21,34.0,63.700
21.24,34.0,63.800
21.28,34.0,63.900
21.31,34.0,64.000
21.34,34.0,64.100
21.38,34.0,64.200
21.41,34.0,64.300
21.44,34.0,64.400
21.47,34.0,64.500
21.51,33.0,64.600
21.54,33.0,64.700
21.58,33.0,64.800
21.61,32.0,64.900
21.64,32.0,65.000
21.68,32.0,65.100
21.71,32.0,65.200
21.74,32.0,65.300
21.77,32.0,65.400
21.81,32.0,65.500
21.84,31.0,65.600
21.87,31.0,65.700
21.91,31.0,65.800
21.94,31.0,65.900
21.98,31.0,66.000
22.01,31.0,66.100
22.04,30.0,66.200
22.08,30.0,66.300
22.11,30.0,66.400
22.14,29.0,66.500
22.18,29.0,66.600
22.21,28.0,66.700
22.24,28.0,66.800
22.28,27.0,66.900
22.31,27.0,67.000
22.34,27.0,67.100
22.38,27.0,67.200
22.41,26.0,67.300
22.44,26.0,67.400
22.47,26.0,67.500
22.51,26.0,67.600
22.54,26.0,67.700
22.58,26.0,67.800
22.61,26.0,67.900
22.64,26.0,68.000
22.68,26.0,68.100
22.71,26.0,68.200
22.74,25.0,68.300
22.78,25.0,68.400
22.81,25.0,68.500
22.84,25.0,68.600
22.87,25.0,68.700
22.91,25.0,68.800
22.94,24.0,68.900
22.97,24.0,69.000
23.01,24.0,69.100
23.04,24.0,69.200
23.07,24.0,69.300
23.11,24.0,69.400
